Fecha,Zona,CantidadTotal
02/03/2018,URBANA,56
03/03/2018,RURAL,11
03/03/2018,URBANA,48
04/03/2018,RURAL,6
04/03/2018,URBANA,54
05/03/2018,RURAL,8
05/03/2018,URBANA,67
06/03/2018,RURAL,4
06/03/2018,URBANA,58
07/03/2018,RURAL,5
07/03/2018,URBANA,51
08/03/2018,RURAL,6
08/03/2018,URBANA,69
09/03/2018,RURAL,9
09/03/2018,URBANA,53
10/03/2018,RURAL,7
10/03/2018,URBANA,59
11/03/2018,RURAL,11
11/03/2018,URBANA,61
12/03/2018,RURAL,7
12/03/2018,URBANA,84
13/03/2018,RURAL,7
13/03/2018,URBANA,84
14/03/2018,RURAL,8
14/03/2018,URBANA,80
15/03/2018,RURAL,11
15/03/2018,URBANA,72
16/03/2018,RURAL,7
16/03/2018,URBANA,59
17/03/2018,RURAL,8
17/03/2018,URBANA,40
18/03/2018,RURAL,7
18/03/2018,URBANA,63
19/03/2018,RURAL,11
19/03/2018,URBANA,50
20/03/2018,RURAL,5
20/03/2018,URBANA,86
21/03/2018,RURAL,8
21/03/2018,URBANA,60
22/03/2018,RURAL,9
22/03/2018,URBANA,80
23/03/2018,RURAL,8
23/03/2018,URBANA,59
24/03/2018,RURAL,5
24/03/2018,URBANA,43
25/03/2018,RURAL,7
25/03/2018,URBANA,45
26/03/2018,RURAL,7
26/03/2018,URBANA,47
27/03/2018,RURAL,8
27/03/2018,URBANA,59
28/03/2018,RURAL,6
28/03/2018,URBANA,53
29/03/2018,RURAL,6
29/03/2018,URBANA,32
30/03/2018,RURAL,7
30/03/2018,URBANA,27
31/03/2018,RURAL,2
31/03/2018,URBANA,33
01/04/2018,RURAL,5
01/04/2018,URBANA,66
02/04/2018,RURAL,9
02/04/2018,URBANA,64
03/04/2018,RURAL,8
03/04/2018,URBANA,65
04/04/2018,RURAL,9
04/04/2018,URBANA,68
05/04/2018,RURAL,12
05/04/2018,URBANA,61
06/04/2018,RURAL,10
06/04/2018,URBANA,65
07/04/2018,RURAL,10
07/04/2018,URBANA,53
08/04/2018,RURAL,3
08/04/2018,URBANA,62
09/04/2018,RURAL,6
09/04/2018,URBANA,67
10/04/2018,RURAL,9
10/04/2018,URBANA,62
11/04/2018,RURAL,7
11/04/2018,URBANA,67
12/04/2018,RURAL,5
12/04/2018,URBANA,65
13/04/2018,RURAL,5
13/04/2018,URBANA,57
14/04/2018,RURAL,5
14/04/2018,URBANA,47
15/04/2018,RURAL,12
15/04/2018,URBANA,70
16/04/2018,RURAL,15
16/04/2018,URBANA,89
17/04/2018,RURAL,6
17/04/2018,URBANA,82
18/04/2018,RURAL,8
18/04/2018,URBANA,80
19/04/2018,RURAL,7
19/04/2018,URBANA,62
20/04/2018,RURAL,8
20/04/2018,URBANA,82
21/04/2018,RURAL,3
21/04/2018,URBANA,64
22/04/2018,RURAL,7
22/04/2018,URBANA,61
23/04/2018,RURAL,5
