name,Fecha,CantidadTotal
DelitosSexuales,25/05/2017,84
DelitosSexuales,26/05/2017,77
DelitosSexuales,27/05/2017,75
DelitosSexuales,28/05/2017,69
DelitosSexuales,29/05/2017,46
DelitosSexuales,30/05/2017,101
DelitosSexuales,31/05/2017,100
DelitosSexuales,01/06/2017,184
DelitosSexuales,02/06/2017,93
DelitosSexuales,03/06/2017,70
DelitosSexuales,04/06/2017,78
DelitosSexuales,05/06/2017,95
DelitosSexuales,06/06/2017,85
DelitosSexuales,07/06/2017,65
DelitosSexuales,08/06/2017,75
DelitosSexuales,09/06/2017,97
DelitosSexuales,10/06/2017,70
DelitosSexuales,11/06/2017,78
DelitosSexuales,12/06/2017,84
DelitosSexuales,13/06/2017,90
DelitosSexuales,14/06/2017,97
DelitosSexuales,15/06/2017,115
DelitosSexuales,16/06/2017,82
DelitosSexuales,17/06/2017,70
DelitosSexuales,18/06/2017,70
DelitosSexuales,19/06/2017,72
DelitosSexuales,20/06/2017,102
DelitosSexuales,21/06/2017,72
DelitosSexuales,22/06/2017,66
DelitosSexuales,23/06/2017,81
DelitosSexuales,24/06/2017,72
DelitosSexuales,25/06/2017,75
DelitosSexuales,26/06/2017,60
DelitosSexuales,27/06/2017,80
DelitosSexuales,28/06/2017,70
DelitosSexuales,29/06/2017,76
DelitosSexuales,30/06/2017,78
DelitosSexuales,01/07/2017,137
DelitosSexuales,02/07/2017,88
DelitosSexuales,03/07/2017,80
DelitosSexuales,04/07/2017,81
DelitosSexuales,05/07/2017,89
DelitosSexuales,06/07/2017,74
DelitosSexuales,07/07/2017,109
DelitosSexuales,08/07/2017,66
DelitosSexuales,09/07/2017,70
DelitosSexuales,10/07/2017,108
DelitosSexuales,11/07/2017,105
DelitosSexuales,12/07/2017,85
DelitosSexuales,13/07/2017,79
DelitosSexuales,14/07/2017,94
DelitosSexuales,15/07/2017,95
DelitosSexuales,16/07/2017,90
DelitosSexuales,17/07/2017,94
DelitosSexuales,18/07/2017,80
DelitosSexuales,19/07/2017,110
DelitosSexuales,20/07/2017,75
DelitosSexuales,21/07/2017,76
DelitosSexuales,22/07/2017,74
DelitosSexuales,23/07/2017,60
DelitosSexuales,24/07/2017,89
DelitosSexuales,25/07/2017,104
DelitosSexuales,26/07/2017,91
