Fecha,Zona,CantidadTotal
20/12/2017,RURAL,7
20/12/2017,URBANA,57
21/12/2017,RURAL,2
21/12/2017,URBANA,31
22/12/2017,RURAL,4
22/12/2017,URBANA,33
23/12/2017,RURAL,5
23/12/2017,URBANA,41
24/12/2017,RURAL,14
24/12/2017,URBANA,35
25/12/2017,RURAL,11
25/12/2017,URBANA,45
26/12/2017,RURAL,7
26/12/2017,URBANA,41
27/12/2017,RURAL,3
27/12/2017,URBANA,36
28/12/2017,RURAL,3
28/12/2017,URBANA,39
29/12/2017,RURAL,6
29/12/2017,URBANA,31
30/12/2017,RURAL,4
30/12/2017,URBANA,23
31/12/2017,RURAL,12
31/12/2017,URBANA,19
01/01/2018,RURAL,26
01/01/2018,URBANA,154
02/01/2018,RURAL,12
02/01/2018,URBANA,81
03/01/2018,RURAL,13
03/01/2018,URBANA,97
04/01/2018,RURAL,14
04/01/2018,URBANA,105
05/01/2018,RURAL,9
05/01/2018,URBANA,94
06/01/2018,RURAL,8
06/01/2018,URBANA,69
07/01/2018,RURAL,10
07/01/2018,URBANA,87
08/01/2018,RURAL,16
08/01/2018,URBANA,72
09/01/2018,RURAL,11
09/01/2018,URBANA,94
10/01/2018,RURAL,9
10/01/2018,URBANA,111
11/01/2018,RURAL,8
11/01/2018,URBANA,132
12/01/2018,RURAL,8
12/01/2018,URBANA,91
13/01/2018,RURAL,11
13/01/2018,URBANA,96
14/01/2018,RURAL,21
14/01/2018,URBANA,93
15/01/2018,RURAL,12
15/01/2018,URBANA,156
16/01/2018,RURAL,12
16/01/2018,URBANA,130
17/01/2018,RURAL,7
17/01/2018,URBANA,85
18/01/2018,RURAL,21
18/01/2018,URBANA,128
19/01/2018,RURAL,12
19/01/2018,URBANA,90
20/01/2018,RURAL,15
20/01/2018,URBANA,93
21/01/2018,RURAL,16
21/01/2018,URBANA,93
22/01/2018,RURAL,11
22/01/2018,URBANA,142
23/01/2018,RURAL,6
23/01/2018,URBANA,119
24/01/2018,RURAL,12
24/01/2018,URBANA,95
25/01/2018,RURAL,17
25/01/2018,URBANA,97
26/01/2018,RURAL,12
26/01/2018,URBANA,104
27/01/2018,RURAL,13
27/01/2018,URBANA,106
28/01/2018,RURAL,16
28/01/2018,URBANA,104
29/01/2018,RURAL,15
29/01/2018,URBANA,106
30/01/2018,RURAL,17
30/01/2018,URBANA,100
31/01/2018,RURAL,10
31/01/2018,URBANA,101
01/02/2018,RURAL,11
01/02/2018,URBANA,91
02/02/2018,RURAL,13
02/02/2018,URBANA,99
03/02/2018,RURAL,11
03/02/2018,URBANA,56
04/02/2018,RURAL,11
04/02/2018,URBANA,76
05/02/2018,RURAL,8
05/02/2018,URBANA,101
06/02/2018,RURAL,15
06/02/2018,URBANA,81
07/02/2018,RURAL,15
07/02/2018,URBANA,83
08/02/2018,RURAL,13
08/02/2018,URBANA,87
09/02/2018,RURAL,9
09/02/2018,URBANA,79
10/02/2018,RURAL,12
10/02/2018,URBANA,101
11/02/2018,RURAL,13
11/02/2018,URBANA,86
12/02/2018,RURAL,13
12/02/2018,URBANA,102
13/02/2018,RURAL,14
13/02/2018,URBANA,96
14/02/2018,RURAL,13
14/02/2018,URBANA,93
15/02/2018,RURAL,25
15/02/2018,URBANA,108
16/02/2018,RURAL,18
16/02/2018,URBANA,122
17/02/2018,RURAL,3
17/02/2018,URBANA,85
18/02/2018,RURAL,12
18/02/2018,URBANA,91
19/02/2018,RURAL,17
19/02/2018,URBANA,114
20/02/2018,RURAL,12
20/02/2018,URBANA,147
21/02/2018,RURAL,21
21/02/2018,URBANA,102
22/02/2018,RURAL,6
22/02/2018,URBANA,131
23/02/2018,RURAL,17
23/02/2018,URBANA,141
24/02/2018,RURAL,11
24/02/2018,URBANA,130
25/02/2018,RURAL,12
25/02/2018,URBANA,128
26/02/2018,RURAL,19
26/02/2018,URBANA,146
27/02/2018,RURAL,14
27/02/2018,URBANA,151
28/02/2018,RURAL,14
28/02/2018,URBANA,163
01/03/2018,RURAL,20
01/03/2018,URBANA,165
02/03/2018,RURAL,15
02/03/2018,URBANA,144
03/03/2018,RURAL,11
03/03/2018,URBANA,117
04/03/2018,RURAL,12
04/03/2018,URBANA,111
05/03/2018,RURAL,12
05/03/2018,URBANA,144
06/03/2018,RURAL,16
06/03/2018,URBANA,144
07/03/2018,RURAL,12
07/03/2018,URBANA,171
08/03/2018,RURAL,10
08/03/2018,URBANA,168
09/03/2018,RURAL,15
09/03/2018,URBANA,145
10/03/2018,RURAL,20
10/03/2018,URBANA,134
11/03/2018,RURAL,17
11/03/2018,URBANA,146
12/03/2018,RURAL,17
12/03/2018,URBANA,148
13/03/2018,RURAL,12
13/03/2018,URBANA,146
14/03/2018,RURAL,16
14/03/2018,URBANA,137
15/03/2018,RURAL,12
15/03/2018,URBANA,132
16/03/2018,RURAL,16
16/03/2018,URBANA,112
17/03/2018,RURAL,14
17/03/2018,URBANA,134
18/03/2018,RURAL,21
18/03/2018,URBANA,116
19/03/2018,RURAL,9
19/03/2018,URBANA,95
20/03/2018,RURAL,22
20/03/2018,URBANA,155
21/03/2018,RURAL,8
21/03/2018,URBANA,152
22/03/2018,RURAL,16
22/03/2018,URBANA,134
23/03/2018,RURAL,14
23/03/2018,URBANA,120
24/03/2018,RURAL,10
24/03/2018,URBANA,89
25/03/2018,RURAL,17
25/03/2018,URBANA,96
26/03/2018,RURAL,7
26/03/2018,URBANA,112
27/03/2018,RURAL,13
27/03/2018,URBANA,112
28/03/2018,RURAL,8
28/03/2018,URBANA,130
29/03/2018,RURAL,7
29/03/2018,URBANA,66
30/03/2018,RURAL,5
30/03/2018,URBANA,67
31/03/2018,RURAL,6
31/03/2018,URBANA,75
01/04/2018,RURAL,12
01/04/2018,URBANA,104
02/04/2018,RURAL,11
02/04/2018,URBANA,135
03/04/2018,RURAL,8
03/04/2018,URBANA,160
04/04/2018,RURAL,16
04/04/2018,URBANA,121
05/04/2018,RURAL,8
05/04/2018,URBANA,129
06/04/2018,RURAL,13
06/04/2018,URBANA,129
07/04/2018,RURAL,20
07/04/2018,URBANA,138
08/04/2018,RURAL,12
08/04/2018,URBANA,117
09/04/2018,RURAL,18
09/04/2018,URBANA,168
10/04/2018,RURAL,16
10/04/2018,URBANA,145
11/04/2018,RURAL,17
11/04/2018,URBANA,143
12/04/2018,RURAL,14
12/04/2018,URBANA,142
13/04/2018,RURAL,14
13/04/2018,URBANA,135
