ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001223,HY174192,03/06/2015 15:30,003XX E BENTON PL,460,BATTERY,SIMPLE,GROCERY FOOD STORE,false,false,114.00,1.00,42.00,32,08B,1178860,1901675,2015,02/10/2018 15:50,41.88549579,-87.61864438,"(41.885495793, -87.618644375)"
10001225,HY190786,03/19/2015 03:00:00 PM,014XX E 53RD ST,890,THEFT,FROM BUILDING,MEDICAL/DENTAL OFFICE,false,false,234.00,2.00,4.00,41,6,1186683,1870410,2015,02/10/2018 15:50,41.79952061,-87.5909098,"(41.799520608, -87.590909799)"
10001229,HY190699,03/06/2015 8:00,008XX N GREENVIEW AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1213.00,12.00,27.00,24,26,1166220,1905912,2015,02/10/2018 15:50,41.89740192,-87.66493936,"(41.897401921, -87.664939363)"
10001230,HY190700,12/03/2014 12:00,029XX S FEDERAL ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,false,false,133.00,1.00,3.00,35,26,1176116,1885609,2014,02/10/2018 15:50,41.8414719,-87.62920463,"(41.841471897, -87.629204627)"
10001231,HY190670,03/19/2015 12:30:00 PM,005XX W MONROE ST,870,THEFT,POCKET-PICKING,STREET,false,false,121.00,1.00,2.00,28,6,1172588,1899825,2015,02/10/2018 15:50,41.8805603,-87.64173087,"(41.880560303, -87.641730873)"
10001232,HY190737,03/19/2015 02:00:00 PM,021XX W LE MOYNE ST,810,THEFT,OVER $500,STREET,false,false,1424.00,14.00,32.00,24,6,1161878,1909812,2015,02/10/2018 15:50,41.90819554,-87.68077799,"(41.908195537, -87.68077799)"
10001233,HY190749,03/19/2015 03:26:00 PM,080XX S ASHLAND AVE,560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),true,false,612.00,6.00,21.00,71,08A,1167072,1851420,2015,02/10/2018 15:50,41.7478519,-87.66337071,"(41.747851897, -87.66337071)"
10001234,HY190746,03/19/2015 03:24:00 PM,095XX S JEFFERY AVE,880,THEFT,PURSE-SNATCHING,STREET,false,false,431.00,4.00,7.00,51,6,1191178,1842136,2015,02/10/2018 15:50,41.72182671,-87.5753394,"(41.72182671, -87.575339397)"
10001235,HY190827,03/14/2015 04:30:00 PM,101XX S CALUMET AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,false,false,511.00,5.00,9.00,49,11,1180370,1837775,2015,02/10/2018 15:50,41.71011389,-87.61506015,"(41.710113887, -87.615060151)"
10001236,HY190680,03/19/2015 02:30:00 PM,0000X E RANDOLPH ST,890,THEFT,FROM BUILDING,RESTAURANT,false,false,111.00,1.00,42.00,32,6,1176893,1901295,2015,02/10/2018 15:50,41.88449778,-87.62587899,"(41.884497778, -87.625878988)"
10001238,HY190092,03/19/2015 12:55:00 AM,017XX W LAKE ST,320,ROBBERY,STRONGARM - NO WEAPON,TAXICAB,false,false,1224.00,12.00,27.00,28,3,1164533,1901443,2015,02/10/2018 15:50,41.88517454,-87.67126213,"(41.88517454, -87.671262133)"
10001239,HY190042,03/16/2015 08:01:00 PM,003XX S HALSTED ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1232.00,12.00,27.00,28,11,1171100,1898687,2015,02/10/2018 15:50,41.87747033,-87.64722803,"(41.877470327, -87.647228034)"
10001241,HY190687,03/19/2015 02:00:00 PM,012XX S WABASH AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,false,false,131.00,1.00,2.00,33,11,1176961,1894924,2015,02/10/2018 15:50,41.86701385,-87.62582213,"(41.867013845, -87.625822134)"
10001243,HY190282,03/18/2015 04:00:00 PM,011XX W 19TH ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,false,true,1235.00,12.00,25.00,31,26,1169359,1891080,2015,02/10/2018 15:50,41.85663413,-87.65384156,"(41.856634133, -87.653841558)"
10001245,HY190685,03/19/2015 02:30:00 PM,025XX N NARRAGANSETT AVE,820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,false,false,2512.00,25.00,36.00,19,6,1133317,1916205,2015,02/10/2018 15:50,41.92628702,-87.785548,"(41.926287021, -87.785547998)"
10001246,HY190734,03/18/2015 11:00:00 AM,067XX W GRAND AVE,820,THEFT,$500 AND UNDER,ALLEY,false,false,2512.00,25.00,36.00,18,6,1130918,1915213,2015,02/10/2018 15:50,41.92360657,-87.79438628,"(41.923606568, -87.794386276)"
