Fecha,Zona,CantidadTotal
07/02/2018,RURAL,8
07/02/2018,URBANA,28
08/02/2018,RURAL,4
08/02/2018,URBANA,25
09/02/2018,RURAL,14
09/02/2018,URBANA,21
10/02/2018,RURAL,13
10/02/2018,URBANA,30
11/02/2018,RURAL,26
11/02/2018,URBANA,37
12/02/2018,RURAL,13
12/02/2018,URBANA,21
13/02/2018,RURAL,10
13/02/2018,URBANA,15
14/02/2018,RURAL,8
14/02/2018,URBANA,17
15/02/2018,RURAL,7
15/02/2018,URBANA,12
16/02/2018,RURAL,10
16/02/2018,URBANA,24
17/02/2018,RURAL,8
17/02/2018,URBANA,24
18/02/2018,RURAL,13
18/02/2018,URBANA,29
19/02/2018,RURAL,7
19/02/2018,URBANA,21
20/02/2018,RURAL,11
20/02/2018,URBANA,16
21/02/2018,RURAL,9
21/02/2018,URBANA,23
22/02/2018,RURAL,6
22/02/2018,URBANA,13
23/02/2018,RURAL,7
23/02/2018,URBANA,25
24/02/2018,RURAL,6
24/02/2018,URBANA,24
25/02/2018,RURAL,16
25/02/2018,URBANA,33
26/02/2018,RURAL,12
26/02/2018,URBANA,23
27/02/2018,RURAL,8
27/02/2018,URBANA,23
28/02/2018,RURAL,15
28/02/2018,URBANA,22
01/03/2018,RURAL,13
01/03/2018,URBANA,24
02/03/2018,RURAL,10
02/03/2018,URBANA,16
03/03/2018,RURAL,8
03/03/2018,URBANA,27
04/03/2018,RURAL,12
04/03/2018,URBANA,35
05/03/2018,RURAL,9
05/03/2018,URBANA,25
06/03/2018,RURAL,6
06/03/2018,URBANA,24
07/03/2018,RURAL,11
07/03/2018,URBANA,27
08/03/2018,RURAL,5
08/03/2018,URBANA,19
09/03/2018,RURAL,4
09/03/2018,URBANA,23
10/03/2018,RURAL,14
10/03/2018,URBANA,16
11/03/2018,RURAL,11
11/03/2018,URBANA,19
12/03/2018,RURAL,8
12/03/2018,URBANA,21
13/03/2018,RURAL,3
13/03/2018,URBANA,17
14/03/2018,RURAL,15
14/03/2018,URBANA,18
15/03/2018,RURAL,11
15/03/2018,URBANA,24
